1.0	2.0	5.4	3.9	1.7	0.4
2.0	3.0	6.4	3.1	5.5	1.8
3.0	1.0	4.6	3.6	1.0	0.2
4.0	2.0	5.5	4.2	1.4	0.2
5.0	2.0	5.1	3.5	1.4	0.2
6.0	1.0	4.3	3.0	1.1	0.1
7.0	3.0	7.7	2.6	6.9	2.3
8.0	3.0	6.4	2.7	5.3	1.9
9.0	3.0	6.0	2.9	4.5	1.5
10.0	3.0	6.7	3.1	4.4	1.4
11.0	3.0	6.9	3.1	5.1	2.3
12.0	1.0	4.9	3.1	1.5	0.1
13.0	3.0	5.8	2.8	5.1	2.4
14.0	2.0	5.5	3.5	1.3	0.2
15.0	1.0	4.8	3.0	1.4	0.1
16.0	2.0	5.1	3.8	1.5	0.3
17.0	3.0	6.7	3.3	5.7	2.1
18.0	3.0	6.4	3.2	4.5	1.5
19.0	2.0	5.7	4.4	1.5	0.4
20.0	3.0	6.8	3.0	5.5	2.1
21.0	1.0	4.6	3.4	1.4	0.3
22.0	3.0	6.8	2.8	4.8	1.4
23.0	3.0	6.3	3.3	6.0	2.5
24.0	3.0	5.6	2.9	3.6	1.3
25.0	3.0	5.7	2.5	5.0	2.0
26.0	2.0	5.1	3.7	1.5	0.4
27.0	2.0	5.1	3.5	1.4	0.3
28.0	3.0	6.3	2.5	5.0	1.9
29.0	2.0	5.4	3.4	1.5	0.4
30.0	3.0	5.8	2.7	3.9	1.2
31.0	3.0	6.0	3.0	4.8	1.8
32.0	3.0	5.5	2.6	4.4	1.2
33.0	3.0	7.2	3.2	6.0	1.8
34.0	3.0	5.2	2.7	3.9	1.4
35.0	3.0	7.4	2.8	6.1	1.9
36.0	3.0	5.5	2.4	3.8	1.1
37.0	2.0	4.9	2.4	3.3	1.0
38.0	3.0	5.6	3.0	4.5	1.5
39.0	3.0	6.9	3.2	5.7	2.3
40.0	1.0	4.4	3.0	1.3	0.2
41.0	3.0	5.9	3.0	5.1	1.8
