201	2	0.35	0.13	0.8	0.31	-0.31	-0.31	-0.46	-0.51	-0.2	0.36	0.39	-0.08	-0.29	-0.098	0.01	-0.22
202	2	-0.39	0.42	0.81	0.21	0.02	-0.15	-0.36	-0.38	-0.3	0.48	0.52	-0.06	-0.39	-0.185	-0.14	-0.55
203	3	-0.86	-1.26	0.17	0.56	1.23	0.66	0.31	-0.34	-0.28	-0.14	0.56	0.76	0.43	0.231	-0.01	-0.33
204	3	-0.89	-0.31	0.69	0.87	1.17	0.79	-0.29	-0.58	-1.0	0.2	0.69	0.61	0.344	0.06	-0.51	-0.74
205	3	-0.97	-0.66	0.08	0.43	0.86	0.91	-0.23	-0.48	-0.39	0.27	0.6	0.64	0.38	-0.106	-0.39	-0.47
206	3	-0.87	-0.14	0.4	0.68	-0.2	0.18	-0.32	-1.03	-0.22	0.34	0.64	0.6	0.43	-0.43	-0.153	0.0
207	3	-0.84	-0.48	0.45	0.83	0.97	0.75	0.39	-0.03	-0.94	-0.48	0.06	0.74	0.68	0.16	-0.35	-0.44
208	3	-0.44	-0.25	0.85	0.63	0.68	0.71	0.19	-0.34	-0.58	-0.14	0.14	0.4	0.107	-0.23	-0.34	-0.78
209	3	-0.36	0.18	0.86	0.88	0.53	0.72	0.21	-0.5	-0.55	-0.11	-0.01	0.46	0.28	-0.39	-0.58	-1.15
210	3	-1.28	-1.24	0.06	0.33	1.0	0.65	0.46	0.0	-0.35	-0.01	0.21	0.56	0.48	0.5	0.09	-0.1
211	3	-1.28	-0.55	-1.61	-0.15	0.44	0.5	0.27	0.53	0.35	-0.31	0.16	0.74	0.32	0.245	0.7	0.12
212	3	-0.17	-0.12	0.23	0.57	0.61	0.8	0.36	-0.38	-0.77	-0.54	-0.06	0.56	0.4	0.0	-0.123	0.0
213	3	-1.27	0.04	1.01	0.35	0.23	-0.03	-0.01	0.03	-0.18	0.32	0.58	-0.11	-0.102	-0.21	-0.24	-0.51
214	3	-0.53	-0.82	0.63	1.24	0.96	0.89	0.2	-0.38	-0.92	-0.52	-0.29	0.38	0.25	-0.03	-0.163	0.0
215	3	-0.36	-0.47	1.46	1.21	0.43	0.13	-0.67	-1.12	-1.37	0.7	0.99	0.76	0.07	-0.351	-0.68	-0.7
216	3	-2.01	-1.25	0.37	0.82	1.09	-0.37	-0.22	-0.35	-0.91	0.48	1.02	0.219	0.83	0.58	0.51	-0.21
217	3	-0.82	-1.21	0.32	0.46	0.96	-0.53	0.09	-0.28	-0.78	0.3	0.261	0.15	0.43	0.85	0.3	-0.14
218	3	-0.22	-0.28	0.9	0.53	0.24	0.29	0.15	-0.16	-0.02	-1.42	0.54	0.35	0.14	-0.075	-0.32	-0.17
219	3	-0.14	-0.39	0.17	0.54	0.33	-0.69	-0.99	-1.46	-0.3	0.26	0.89	0.5	0.166	0.03	0.33	0.42
220	3	-0.19	-1.04	-0.36	0.12	1.06	1.1	0.9	0.22	0.02	-0.5	-0.15	0.37	0.22	-0.52	0.04	-1.31
221	3	-0.19	-0.77	-0.17	-0.19	0.13	-0.36	-0.55	-0.07	-0.01	0.27	0.49	0.85	0.66	-0.24	0.03	0.09
222	3	-0.36	-0.93	-0.97	-0.06	0.61	0.21	0.59	0.45	0.18	-0.48	0.13	0.46	0.26	0.3	0.022	0.0
223	3	-0.46	-0.09	0.67	0.45	0.6	-0.14	-0.33	-0.05	-0.48	0.47	0.48	0.24	-0.119	-0.43	-0.85	-0.44
224	3	-1.04	-0.02	0.76	0.59	0.31	0.04	-0.35	-0.12	-0.48	0.5	0.55	0.45	-0.07	-0.169	-0.6	-0.6
225	3	0.11	-0.18	0.94	0.73	0.3	0.02	-0.51	-0.54	-0.49	0.44	0.47	0.06	0.07	-0.35	-0.77	-0.32
226	3	-0.4	-0.04	0.32	0.42	0.09	0.0	0.09	0.0	-0.1	-0.26	0.04	0.35	-0.01	-0.016	0.06	-0.16
227	3	-1.2	-0.37	-0.25	-0.26	0.36	0.73	0.27	0.27	0.34	-0.21	0.13	0.4	0.09	0.076	-0.05	-0.15
228	3	0.23	0.59	1.9	1.32	-0.19	-0.34	-0.87	-1.31	-0.13	-1.53	1.23	1.0	0.29	-0.249	-0.6	-0.05
229	3	-1.3	-1.02	0.2	0.52	0.87	0.81	0.49	0.44	0.21	-0.07	-0.49	0.34	0.22	0.106	-0.57	-0.04
230	3	-0.8	-0.74	0.42	0.72	-0.13	0.04	0.01	-0.14	-0.5	0.63	0.4	0.4	0.132	0.23	-0.2	-0.53
231	3	-1.04	0.29	1.45	0.67	-0.06	-0.5	-0.49	-0.83	-0.41	0.7	0.59	0.85	0.09	-0.315	-1.01	-0.61
232	3	-0.05	-0.69	0.61	0.79	0.52	0.05	0.09	-0.11	-0.12	0.2	0.4	0.12	0.046	-0.3	-0.48	-0.82
233	3	-0.02	-0.31	0.29	0.42	0.2	-0.19	-0.21	-0.37	-0.3	0.36	0.44	0.16	-0.031	0.02	-0.19	-0.47
234	3	-1.05	0.22	0.82	0.7	0.76	0.16	-0.07	-0.49	-1.0	0.17	0.5	0.54	0.172	0.04	-0.06	-0.4
235	3	-0.93	-0.41	0.68	0.8	0.68	0.07	0.12	-0.13	-0.6	0.16	0.45	0.373	0.34	-0.19	-0.13	-0.6
236	3	-0.76	-1.43	-0.2	1.12	1.56	1.27	-0.22	-0.79	-0.67	-0.02	0.37	0.21	0.11	0.09	0.0	0.11
